,ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
6872076,ID1ALnvcp,2017-01-12 07:30:20,4572960,717249,71441,29916445,b,Edge,Tablet,0
4002409,IDJZx1hyu,2017-01-14 15:13:31,9001183,640950,40050,67290861,a,Firefox,Mobile,0
2471721,IDYjD4HF6,2017-01-11 13:01:29,2924594,692240,21407,9434818,f,Mozilla Firefox,Desktop,0
5584229,IDDtAIPFk,2017-01-15 11:58:52,8172888,279230,48498,81968512,b,Edge,Tablet,0
3059230,IDiM0sSns,2017-01-12 10:02:39,565689,673578,15124,99558603,a,Mozilla Firefox,Desktop,0
6234499,IDd5RF4mX,2017-01-14 16:45:38,3996974,326331,30580,67147700,a,Firefox,Mobile,0
9689397,IDBncCvim,2017-01-11 08:53:22,562430,103171,84144,7122654,b,Edge,Tablet,0
10087613,IDcAP5pg5,2017-01-18 10:41:31,2914172,377555,82877,67290861,f,Edge,Tablet,0
6464660,IDcVWbWe9,2017-01-20 13:17:57,3639687,508908,904,26391770,a,Mozilla,Desktop,0
3964708,IDOBcW0ow,2017-01-17 10:54:55,7799748,853821,8675,79906734,f,Edge,Tablet,0
2820074,IDfyQCl4l,2017-01-19 07:14:07,3665704,932144,12052,39507200,b,Mozilla,Desktop,0
4431766,IDED9xz2E,2017-01-16 16:41:35,3665704,772153,42227,43770446,c,Firefox,Mobile,0
9441383,IDhZfoSN8,2017-01-20 17:35:21,9604181,559583,93286,83960204,f,Firefox,Mobile,0
4355039,IDtvzAD29,2017-01-20 13:46:56,5740492,417942,63392,22435216,b,Mozilla,Desktop,0
4931013,IDGZBtuEM,2017-01-15 06:55:25,5678973,126209,34670,1569330,e,InternetExplorer,Desktop,1
9665153,IDZUVgzj4,2017-01-20 10:13:45,171131,663837,33638,47079934,b,Edge,Tablet,0
4698482,IDUDKsWlp,2017-01-17 13:45:07,1286858,539901,11837,7181598,a,Firefox,Mobile,0
1328669,IDkHFifj8,2017-01-13 17:11:48,5017759,577784,30580,67147700,f,Firefox,Mobile,0
1234851,IDdTSyhJd,2017-01-18 15:44:29,232465,788293,6906,99510044,a,Edge,,0
2873809,IDshQfHMM,2017-01-18 16:32:31,3824998,115688,1678,93326897,b,Edge,Tablet,0
4162467,IDKPxWG5L,2017-01-15 09:05:37,2319506,867825,53956,66240359,a,Edge,Tablet,0
7003038,IDPblxdAv,2017-01-20 16:43:47,7346460,716622,80554,7122654,a,Mozilla,Desktop,0
11340041,IDIlOWZrP,2017-01-20 07:06:40,1612250,827750,92704,93157824,c,InternetExplorer,,1
91610,IDbN63IK3,2017-01-12 03:58:35,2743846,805980,904,26391770,f,Chrome,Desktop,0
9237995,IDQvVNP6W,2017-01-18 13:18:44,1807051,752303,92902,7122654,d,Firefox,Mobile,0
10392056,IDAdq7wFi,2017-01-16 12:00:38,3542327,945721,8675,43770446,b,Firefox,,0
11250972,IDY1OBcu1,2017-01-16 17:23:31,,656480,92704,93157824,a,Opera,Mobile,0
11655605,IDPovQYwR,2017-01-13 13:18:02,,233288,6906,71165566,b,Firefox,Mobile,0
3475746,IDKaXJzff,2017-01-12 14:11:50,4413262,859089,68847,54526992,d,Opera,Mobile,0
1845550,ID9sTu4dE,2017-01-14 11:52:39,,834014,26966,49554217,f,Edge,Tablet,0
2509066,IDQrrmO4p,2017-01-20 02:20:32,4594509,367949,76239,26461535,b,Firefox,Mobile,0
11081362,IDMCknvuD,2017-01-13 10:07:33,2174195,298225,53956,28048367,b,InternetExplorer,Desktop,0
5861530,ID0jDXaAN,2017-01-20 12:59:54,8015904,292320,92704,93157824,d,InternetExplorer,Desktop,1
6740944,IDskLiYiT,2017-01-18 12:30:57,3675169,247864,92902,79906734,a,InternetExplorer,Desktop,0
9496529,IDL7fei1R,2017-01-14 12:43:09,2419921,849617,99178,46997962,d,Chrome,,0
5931087,IDcjY5cDe,2017-01-20 09:02:53,7486583,564229,40339,43452411,e,Mozilla Firefox,,0
4174048,IDiE48nVa,2017-01-16 06:45:50,4800985,995596,43897,46512126,b,Firefox,Mobile,0
3313380,IDrVTwp1C,2017-01-18 08:10:11,9501960,624632,84974,17488931,b,Firefox,Mobile,0
7662622,IDUbP8JdW,2017-01-11 16:38:39,8877753,991324,80554,57977218,b,Edge,Tablet,0
1355508,IDigQ5x2Q,2017-01-16 13:59:29,5629028,873487,33287,46997962,b,Firefox,Mobile,0
4333891,IDf79hL1j,2017-01-10 14:08:01,7807647,711295,12211,15961717,a,InternetExplorer,Desktop,0
7189736,IDMz50T6a,2017-01-11 18:13:57,1181,33329,33638,555603,d,Firefox,Mobile,0
7099620,IDAF11lu1,2017-01-15 09:26:24,5176353,26832,2053,11053265,b,Edge,Tablet,0
6872065,IDWeuqGah,2017-01-12 09:05:55,9053423,63694,98552,64615852,c,Google Chrome,Mobile,1
8621320,ID0hdfVhz,2017-01-11 13:10:45,9113988,833041,92704,7122654,a,Mozilla,Desktop,0
924815,IDYTwm18V,2017-01-17 11:07:06,7898280,560697,20665,26391770,e,Edge,Tablet,0
11611159,IDEYz9jAB,2017-01-18 00:13:28,1928488,443505,80800,54794527,b,Firefox,,0
6249101,IDBF5HJUs,2017-01-13 08:48:18,6363106,253634,46450,47079934,f,Firefox,Mobile,0
191093,IDT1cln6t,2017-01-19 03:28:04,5818033,279069,54125,26391770,a,Mozilla Firefox,Desktop,0
3467432,IDHNxDxx7,2017-01-17 11:53:09,8888752,910164,1678,14334527,a,Firefox,Mobile,0
217307,IDqZTTFsV,2017-01-18 12:25:51,9157920,970696,25516,30860214,a,Mozilla Firefox,Desktop,0
9073863,IDGoDvUlG,2017-01-18 14:32:24,6551958,13591,2053,2050923,c,InternetExplorer,Desktop,1
4282972,IDBjK0Des,2017-01-13 13:24:01,7133966,332027,42227,43770446,e,Mozilla,Desktop,0
6954448,IDmJoLtC8,2017-01-12 13:37:56,4041286,742889,54916,20301556,d,Edge,,0
5527239,IDUB01KsO,2017-01-11 16:31:46,3223872,338283,26849,30860214,b,Firefox,Mobile,0
11851312,ID0tVewiM,2017-01-13 11:15:34,9326640,227863,48498,13742268,b,Edge,Tablet,0
9375151,IDozyP6NH,2017-01-17 13:41:50,7268210,178897,42227,49384126,a,Firefox,Mobile,0
8383280,IDbKS2BZs,2017-01-14 15:53:54,9582384,281839,904,94350426,a,Firefox,,0
2970868,IDQcSaYTR,2017-01-20 11:48:02,9623960,602225,80554,57977218,f,Edge,Tablet,0
3873358,ID37ba59l,2017-01-13 08:26:47,8646134,550575,40339,43452411,d,IE,,0
4872300,IDN4BRr3F,2017-01-11 19:15:36,7892724,100478,904,29916445,c,Firefox,Mobile,0
2011180,IDwwnhEnW,2017-01-12 15:44:23,141740,109086,11837,43770446,f,Edge,Tablet,0
195416,IDAcM2VTj,2017-01-11 09:14:42,7741057,335021,54125,48615529,b,Internet Explorer,Tablet,0
7936890,IDnLxup92,2017-01-20 13:22:39,,715791,45287,95185333,a,Chrome,Desktop,0
10831928,IDbvRnzl3,2017-01-20 07:18:58,4836001,285446,12211,17670416,c,Edge,Tablet,0
5206282,ID06iGtV7,2017-01-17 15:58:09,3262901,21310,26966,48615529,b,Firefox,Mobile,0
2084687,IDAFdJDNb,2017-01-18 13:51:57,4615041,940784,97863,63837330,b,Firefox,Mobile,0
9509588,IDr9ySb50,2017-01-15 12:27:14,700893,364430,47327,65017662,d,,Desktop,0
1212949,ID4n3558I,2017-01-17 12:40:25,3212491,710307,40339,43452411,b,Mozilla Firefox,Desktop,0
8418630,ID7TQpo8s,2017-01-11 11:54:19,5146761,596035,34670,86084476,d,InternetExplorer,Desktop,0
3198042,IDFNwkiRY,2017-01-19 17:29:50,6436015,114817,40339,54526992,a,Firefox,Mobile,0
9382948,IDASJKmya,2017-01-19 15:13:16,3553846,722670,93286,46997962,a,Mozilla,Desktop,0
911164,IDAUmoOpi,2017-01-19 05:30:46,7434891,477243,43347,16150900,b,Mozilla,Desktop,0
218181,IDxo0J0oh,2017-01-20 15:05:29,7693537,693786,42227,1189152,b,Mozilla,Desktop,0
4122220,IDa5yPXN6,2017-01-17 10:12:49,3307402,966857,34670,87807327,b,Mozilla Firefox,Desktop,0
980742,ID5lBs7ML,2017-01-17 06:46:35,9621331,119666,904,94350426,b,Firefox,Mobile,0
2452666,IDn3TLzgI,2017-01-18 11:48:22,,319296,42227,43770446,b,Mozilla Firefox,Desktop,0
4483002,ID4nBcjUo,2017-01-16 11:50:30,8450934,790151,10345,81621696,a,Firefox,Mobile,0
7540001,IDFLKgXzZ,2017-01-16 19:42:02,,655226,72160,82291592,c,InternetExplorer,Desktop,1
2833464,IDclRCSa8,2017-01-15 11:49:06,9521196,998592,62809,2835657,b,Mozilla,Desktop,0
8031883,IDC7jMlVa,2017-01-10 18:43:06,,43307,48498,81968512,e,Firefox,Mobile,0
11502634,IDf6h01tx,2017-01-13 14:50:58,4400449,98196,54343,71193712,b,Firefox,Mobile,0
9011966,IDNBGR0PA,2017-01-12 10:24:30,5584419,305730,33287,46997962,e,InternetExplorer,Desktop,1
1180662,ID3le7Nr0,2017-01-18 15:28:14,4309265,895327,17118,66240359,a,Firefox,Mobile,0
6565467,IDECr3wYZ,2017-01-11 15:57:14,48650,719388,49810,37017006,b,Mozilla,Desktop,0
72004,ID1FetDZC,2017-01-12 18:35:14,6205309,621995,48498,55358028,a,Edge,Tablet,0
4748639,IDltwCPDb,2017-01-19 14:14:00,8470767,441913,42227,49384126,f,Edge,Tablet,0
1701499,IDHzQqWe2,2017-01-11 19:44:23,9708292,157546,73248,35888759,a,Firefox,,0
2609782,IDHhCvagv,2017-01-14 11:48:36,7966496,30166,33638,29916445,b,Firefox,Mobile,0
3515214,IDHxMuzsE,2017-01-12 10:21:10,227697,383596,84974,74868704,b,Google Chrome,Mobile,0
217374,IDXeSkI5W,2017-01-15 08:54:08,3998456,580090,26962,77896159,a,Edge,Tablet,0
2913239,IDMcoQIfJ,2017-01-11 11:34:52,9219890,959482,33638,47079934,b,InternetExplorer,Desktop,0
10906822,IDFkrAGdv,2017-01-12 17:55:23,226962,897031,43897,17488931,b,Firefox,,0
1126036,IDCntR4ED,2017-01-20 13:07:14,6351501,954436,67817,17687647,a,Firefox,Mobile,0
5417180,IDWVg5LS5,2017-01-11 15:28:46,9372810,879192,41706,16943535,a,Firefox,Mobile,0
115411,IDImP5SVA,2017-01-14 14:15:25,9562693,222681,6906,99510044,a,Edge,Tablet,0
6442711,IDvTvxwZG,2017-01-13 12:30:58,1177943,202497,74263,74363610,e,Mozilla,,0
10178878,IDEQ4jhVl,2017-01-14 14:20:55,572811,224620,26962,7122654,a,Edge,Tablet,0
2711086,IDECRfcIX,2017-01-20 10:56:16,5866913,388970,61208,27723861,a,Edge,Tablet,0
11892764,IDTYPlyra,2017-01-14 10:20:49,2054732,855668,92902,555603,f,Firefox,Mobile,0
10751021,IDWwm6Vub,2017-01-20 10:53:17,5659744,260364,40050,79906734,b,Firefox,Mobile,0
6300000,IDDUXJsDA,2017-01-20 15:50:08,4097220,413159,95113,65017662,a,Mozilla Firefox,,0
7948559,IDSh9dLG2,2017-01-13 13:26:48,4097220,115966,97863,3156697,b,Firefox,Mobile,0
1316280,IDFp6u9XU,2017-01-16 10:15:24,2405357,769795,17714,2050923,a,Edge,Tablet,0
9421084,IDYhd1uVO,2017-01-15 12:36:16,8616168,306536,3643,555603,b,Edge,Tablet,0
11846335,IDPY5tXDX,2017-01-11 15:25:09,9737763,349015,42227,1436904,e,Google Chrome,Mobile,0
3395283,IDNBoaXKa,2017-01-20 13:03:04,,489130,67817,51368560,a,Firefox,Mobile,0
4498551,IDkb8VrIw,2017-01-10 11:14:53,5570128,269300,45620,31388981,b,Mozilla,Desktop,0
4963135,IDQiIV9Up,2017-01-20 12:41:44,,767822,82877,38492160,a,IE,Mobile,0
7546583,IDayE2fOQ,2017-01-10 17:31:39,,749536,5602,60774669,b,Edge,Tablet,0
2544004,IDkkGwMos,2017-01-14 16:07:55,7074387,756419,41706,4000296,e,Internet Explorer,Tablet,0
2803212,IDMR0PzM4,2017-01-14 11:50:02,5875528,279442,6906,99510044,d,Google Chrome,Mobile,0
148563,IDwQr4y1h,2017-01-15 18:41:47,7485735,332242,40339,43452411,b,Mozilla,,0
7897879,IDtaKknmj,2017-01-17 17:08:38,5698862,65270,904,26391770,b,InternetExplorer,Desktop,0
4762517,IDDbl3xvE,2017-01-15 13:39:24,6337716,988898,97807,27723861,b,Mozilla,Desktop,0
8426277,IDiLsb7J1,2017-01-10 06:03:31,,128539,33949,10518559,b,Firefox,Mobile,0
5060115,ID12VU5QD,2017-01-18 17:18:36,8435765,110731,43612,55315296,b,Firefox,Mobile,0
3306411,IDHxOCnG9,2017-01-17 11:11:25,2247000,216072,46365,26391770,a,Edge,,0
3508148,IDtRwoZcq,2017-01-12 17:46:51,9738719,347868,42227,43770446,b,Edge,Tablet,0
8338374,ID1GgGQp6,2017-01-18 16:35:57,8624219,142590,49810,7864011,c,Google Chrome,,1
3767976,ID0VowEi8,2017-01-17 11:30:22,4166623,587046,5602,30432082,a,Edge,Tablet,0
8729892,IDGUiCO4O,2017-01-13 15:46:25,4449900,106949,48498,55358028,a,Firefox,,0
901891,IDGTicvmE,2017-01-11 18:33:29,9829147,557389,42227,95013373,e,Edge,Tablet,0
2266781,IDX3HAbMk,2017-01-16 12:30:57,7368125,596560,1678,61940782,a,Edge,Tablet,0
8425759,ID6AAY7m2,2017-01-15 09:15:36,9256021,227762,53956,90093962,d,Edge,Tablet,0
6196332,ID5ephhNJ,2017-01-15 07:50:08,5296202,548743,54343,71193712,e,Mozilla,,0
174048,IDMSILwiC,2017-01-18 17:38:27,,777020,17118,17488931,a,Firefox,,0
11211351,IDlGTZvrg,2017-01-13 16:40:52,8698439,406907,42227,1189152,a,Edge,Tablet,0
6545777,IDEoDucRv,2017-01-13 17:16:47,3933807,531047,98552,16150900,d,Chrome,Desktop,0
10650393,IDQnMDUCH,2017-01-13 14:07:27,6100263,431361,63392,24374189,f,Edge,Tablet,0
11154383,IDJtg1y35,2017-01-10 10:54:07,3680167,818290,43897,7122654,b,,Tablet,0
1353110,IDu2jBIfy,2017-01-17 14:14:17,9786550,407547,30580,67147700,e,Edge,Tablet,0
5363933,ID8l4Kk7c,2017-01-11 17:40:16,3987591,228284,40339,83960204,b,Edge,Tablet,0
10512148,ID4dYXVt3,2017-01-18 13:58:40,7790864,237370,42227,68646414,a,,Desktop,0
410460,IDwt6EqDL,2017-01-16 11:03:52,5507531,527651,97863,63837330,b,Mozilla Firefox,,0
5232430,IDyqTHGDO,2017-01-11 13:07:58,6562346,226123,23576,45446370,a,Firefox,Mobile,0
3454352,IDy9z8AF0,2017-01-17 15:55:44,8051747,435169,12211,8730209,a,Edge,Tablet,0
1871434,IDKvM6GAh,2017-01-15 11:59:04,6071100,715151,6906,71165566,b,Edge,Tablet,0
8705150,IDHoUteN4,2017-01-11 06:58:36,3982280,987811,41706,4000296,b,Firefox,Mobile,0
2615147,IDaBSBWAU,2017-01-11 09:33:30,3258621,783102,56811,15961717,e,,Desktop,0
10021993,IDaIrU9Du,2017-01-14 14:17:52,8279639,14010,41706,16943535,a,Firefox,Mobile,0
8282886,IDHM3PCI5,2017-01-13 14:01:54,8964125,356435,1678,76464134,a,Mozilla,Desktop,0
1781997,IDxQ1ackv,2017-01-14 10:17:04,6506832,544430,6906,99510044,f,Firefox,Mobile,0
12009694,IDsF65hw3,2017-01-17 16:55:16,4141865,136106,17714,27723861,d,Edge,Tablet,0
2323500,IDd7WlHVb,2017-01-18 09:57:12,2441551,753729,10345,72161006,b,Google Chrome,Mobile,0
1680419,IDoKx4fK1,2017-01-14 14:21:32,8747345,446023,45620,15323720,f,Edge,Tablet,0
9238158,ID4sZltD9,2017-01-10 13:26:18,5619392,380557,12052,31388981,f,Firefox,Mobile,0
1810613,IDYGianV4,2017-01-11 15:40:54,9437818,840288,11987,29916445,c,Mozilla,,1
6035569,IDaCn4b4o,2017-01-14 15:30:23,8888752,116255,1678,76464134,f,Mozilla,Desktop,0
11692604,IDbUhXbIF,2017-01-13 13:32:59,3329625,750254,82877,86048641,a,Edge,Tablet,0
1598720,IDLdXS2Tw,2017-01-17 14:07:56,3328967,663914,73248,77046603,e,Google Chrome,Mobile,0
2615399,ID79qANyQ,2017-01-16 11:11:59,9926372,788080,29183,42914671,b,Edge,Tablet,0
5091866,IDMFg4PWy,2017-01-18 14:54:30,,86606,42227,83172146,a,Firefox,Mobile,0
4632839,ID1xb6PCU,2017-01-16 15:54:36,,16007,54916,7864011,e,IE,Mobile,0
9719428,IDnyZQ3av,2017-01-13 10:16:25,7387014,259718,80554,7122654,f,,Mobile,0
3143441,ID6Bp9wJX,2017-01-10 18:04:54,3477559,993013,904,94350426,b,Firefox,Mobile,0
805850,IDQABWekT,2017-01-12 15:19:50,9953436,961176,33638,47079934,c,Firefox,Mobile,0
5276568,IDhxFdJmm,2017-01-18 11:56:30,4056132,571478,48498,57977218,b,Firefox,,0
7338180,IDehXef2k,2017-01-19 09:16:21,3121607,359588,40339,43452411,a,Edge,Tablet,0
4855290,IDRdlQoOh,2017-01-18 15:28:06,1218130,299807,20322,26929326,b,InternetExplorer,Desktop,0
11693524,IDwKcbRIe,2017-01-16 16:27:26,8276096,817080,80554,61940782,f,Firefox,,0
4515063,IDH5JpI8M,2017-01-15 13:12:00,141740,741245,40339,7122654,a,Firefox,Mobile,0
3360180,IDIWPC4o8,2017-01-20 17:09:42,4651315,540693,82877,33832190,a,Edge,Tablet,0
1810377,IDDzZYVOI,2017-01-14 16:40:26,890438,121286,62809,27723861,a,Firefox,Mobile,0
6931003,IDu7RkUZG,2017-01-11 10:17:52,2641846,496476,26849,49384126,a,Firefox,Mobile,0
6426917,IDMMaaQDE,2017-01-17 12:07:18,131432,154851,17714,2050923,b,,Desktop,0
4182201,IDWs5angd,2017-01-13 11:04:08,,686292,97863,96206255,b,Mozilla,Desktop,0
12113402,ID6tGyLZn,2017-01-19 12:47:40,6926738,449850,71441,7122654,b,Chrome,Desktop,0
8791318,IDH6uga94,2017-01-17 12:03:45,9688010,454604,6906,99510044,b,Edge,Tablet,0
5185207,IDbklS61I,2017-01-13 16:16:17,8195511,348906,42227,54526992,b,Edge,Tablet,0
8052623,IDvwhmJbj,2017-01-12 14:16:46,4488235,739706,6906,99510044,e,Firefox,Mobile,0
11343306,IDXQagq6B,2017-01-11 17:01:39,8347197,328284,21407,80645978,a,Mozilla Firefox,Desktop,0
2830295,IDNcHAKXd,2017-01-12 18:20:01,7292600,474987,42227,32738053,d,Edge,Tablet,0
2253237,IDKYIX0EE,2017-01-12 11:00:40,87022,342949,6906,99510044,b,Chrome,Desktop,0
10639007,IDSXIivI0,2017-01-18 16:46:37,5036049,501847,12211,90276693,b,Edge,,0
5953710,IDHlAnMeB,2017-01-17 13:26:31,5726879,763333,6906,99510044,a,Chrome,Desktop,0
5315134,IDi0lSLYG,2017-01-14 15:11:27,6128151,440327,11837,15961717,a,Edge,Tablet,0
5318086,IDSQ4FIRO,2017-01-20 10:03:01,2063123,404675,5602,72451969,a,,Mobile,0
389124,IDgycCY14,2017-01-20 11:42:58,3886317,507821,42227,49384126,b,Edge,,0
2825716,IDXjW4kde,2017-01-11 11:42:29,998487,803686,45620,31388981,c,Edge,,0
9656740,IDkRjeqAK,2017-01-15 06:39:29,9320653,992932,33638,20301556,b,Mozilla,Desktop,0
5606279,ID6XI1IEZ,2017-01-17 09:47:09,9800939,376812,33287,86084476,d,Edge,Tablet,0
609800,IDL8xhMFI,2017-01-19 15:03:13,1807212,798919,34670,1569330,b,Mozilla,Desktop,0
11963853,IDxBHOLbx,2017-01-19 12:27:26,3533878,770202,904,26391770,b,Firefox,Mobile,0
3364187,IDPSQb4RC,2017-01-10 15:12:01,7987330,497211,10345,33683592,f,InternetExplorer,Desktop,0
10794559,IDyywx7Xt,2017-01-18 12:47:03,958848,435540,10345,17777318,d,Edge,Tablet,0
11221473,IDkfFbhjy,2017-01-11 07:20:23,4631631,881646,6906,99510044,a,Mozilla Firefox,Desktop,0
8325691,IDDIwRGNJ,2017-01-14 14:04:20,6826764,986240,45620,90174279,b,Google Chrome,Mobile,0
4940740,IDhiVW4sb,2017-01-14 06:40:59,1587580,480361,26849,43770446,a,Internet Explorer,Tablet,0
3672616,IDuKOwwqL,2017-01-13 16:48:45,1736977,588104,35046,31388981,b,Edge,Tablet,0
3634971,IDEQUaR2A,2017-01-19 13:17:54,8068869,695996,12211,58163546,a,Edge,,0
7120973,ID0a4dGOt,2017-01-14 12:02:51,6131173,112360,45620,54630329,b,Edge,Tablet,0
5624041,IDZRML4aA,2017-01-20 07:57:44,3071589,708634,45620,31388981,b,Mozilla Firefox,Desktop,0
7578946,IDbHzIijh,2017-01-11 06:17:31,1265848,677851,29183,42914671,a,Mozilla,,0
2950911,IDhSdwTjh,2017-01-15 18:44:54,7315966,831890,26966,7122654,a,Firefox,Mobile,0
6626682,IDl21kZGy,2017-01-13 07:51:27,7560820,950174,904,74363610,a,Safari,Tablet,0
1385799,IDI8OrJgd,2017-01-20 11:26:02,993769,151013,42227,18243870,b,Edge,Tablet,0
7562188,ID5CLyACt,2017-01-15 14:36:56,3044573,880381,64452,87726715,c,IE,Mobile,0
11693311,IDbZ31COH,2017-01-16 17:04:36,3750752,211217,6906,99510044,e,Opera,Mobile,0
5864364,IDhONO1ap,2017-01-12 14:45:03,1207651,514982,95113,15961717,c,Edge,Tablet,0
9196403,IDepi7jE2,2017-01-18 08:31:58,7464179,954452,53956,86084476,f,Firefox,,0
241995,ID3euaEzi,2017-01-19 13:26:45,3823949,576389,80554,7122654,b,Mozilla,Desktop,0
3922762,ID11zLPZw,2017-01-10 17:48:07,9222917,336451,6906,99510044,f,Firefox,Mobile,0
2982414,IDi4JL67e,2017-01-10 08:43:58,6038692,714867,26162,20116446,a,Firefox,,0
5491353,IDbJFMTxh,2017-01-19 11:38:18,2320006,130285,98552,64615852,e,Mozilla Firefox,Desktop,0
11393545,IDtemdPHR,2017-01-13 08:22:10,1920944,123206,97852,48454212,c,Mozilla Firefox,Desktop,1
7711236,IDk9tzL5a,2017-01-18 17:43:06,5379853,620742,61982,70239921,f,Mozilla,Desktop,0
5916911,ID7NMCg7i,2017-01-11 12:10:45,9150827,369601,65251,57977218,b,Edge,Tablet,0
11047097,IDwTJAgeB,2017-01-13 09:43:30,,7553,11837,56546102,a,Firefox,Mobile,0
2987781,IDElfbPMx,2017-01-15 13:14:20,214879,783354,48498,55358028,b,Edge,Tablet,0
5214521,ID43dQwZu,2017-01-14 13:19:09,7907735,99064,43612,31533763,f,,Desktop,0
3229280,ID241KbIz,2017-01-12 05:14:34,4122478,835312,7126,28452818,f,Edge,,0
2567382,IDjTfYjOS,2017-01-20 15:39:16,4995670,867400,40339,83960204,f,Mozilla,Desktop,0
5078483,ID5YMQbPy,2017-01-14 16:54:47,9088671,913385,17714,29916445,e,Google Chrome,Mobile,0
8130485,IDm4JGjqy,2017-01-13 09:20:30,9470397,484134,34670,48615529,b,Firefox,Mobile,0
3872036,IDFF6Venp,2017-01-13 14:30:54,1814725,685701,82877,48615529,f,IE,Mobile,0
1806082,IDgu4VK5h,2017-01-16 15:37:22,9075268,598357,33638,78406516,b,InternetExplorer,Desktop,0
726082,IDdxwJC5m,2017-01-12 15:00:41,,724579,5602,76683174,a,Mozilla,Desktop,0
4699489,IDWj8l4hp,2017-01-19 06:52:22,6168643,47206,98552,17990842,e,Edge,Tablet,0
8610310,IDcuX031W,2017-01-17 09:49:11,3854759,941323,11837,15961717,a,Firefox,Mobile,0
9793717,ID2OKRdAv,2017-01-18 08:15:24,5705618,784938,8467,88843407,e,Mozilla Firefox,Desktop,0
1310750,ID8OzIkSa,2017-01-15 13:34:45,7186875,488799,68947,7864011,b,Mozilla,Desktop,0
3342235,IDgH4jrGd,2017-01-20 14:53:39,8737840,58709,73248,50706198,a,InternetExplorer,Desktop,0
11595606,IDoo0sOYm,2017-01-11 17:11:24,9128741,649298,41706,4000296,a,Firefox,Mobile,0
5248913,IDWcjUBLq,2017-01-11 19:56:11,2615634,282231,92704,93157824,b,Safari,Tablet,0
8598216,IDjRbY9KF,2017-01-14 13:55:52,3430856,111206,82877,38492160,f,Firefox,Mobile,0
8921447,ID916EXO1,2017-01-10 16:05:12,5808753,227264,17714,74363610,e,Mozilla,Desktop,0
3103465,IDXiUdWHi,2017-01-20 16:17:53,,904027,15124,72749645,e,Edge,Tablet,0
1682399,ID7dWtATX,2017-01-18 17:35:41,4020507,313129,40339,83960204,b,Mozilla Firefox,Desktop,0
1987774,ID5ZRvuKV,2017-01-15 16:48:10,9000945,721166,93286,25113706,b,InternetExplorer,Desktop,0
2312993,IDJuwY5fR,2017-01-18 09:19:00,2817827,727234,92704,4000296,c,Firefox,Mobile,0
7330084,IDaDMXtwu,2017-01-16 16:51:59,8010239,976091,40339,7864011,f,Mozilla,Desktop,0
2537104,IDJdD6b9L,2017-01-16 09:30:29,3990277,938906,17714,29916445,c,Firefox,Mobile,0
3184287,IDSbUwaNU,2017-01-14 21:02:23,98480,825783,54343,71193712,b,InternetExplorer,Desktop,0
4308778,IDk023ZRS,2017-01-18 04:44:18,8039175,32183,40339,43452411,b,Edge,,0
8308956,IDyImvrQc,2017-01-17 14:22:22,6799667,707897,65251,57977218,c,InternetExplorer,Desktop,1
2682912,IDrMkZbC5,2017-01-15 11:06:14,5136228,315025,5602,89912524,f,Internet Explorer,Tablet,0
3414076,IDiSrtqtH,2017-01-17 15:26:55,6803469,719385,54916,7864011,b,Mozilla Firefox,Desktop,0
7824236,IDUotAqhu,2017-01-14 13:07:12,2290711,628150,6906,99510044,b,Firefox,Mobile,0
5600566,IDRMjb0PT,2017-01-12 14:27:34,6181032,373443,8467,30860214,b,Firefox,Mobile,0
8514237,IDu3kM3NS,2017-01-19 09:47:40,408032,691198,12211,87903766,b,Edge,Tablet,0
6816061,ID1py8Qwi,2017-01-15 11:15:13,532102,47448,33638,78406516,d,InternetExplorer,,1
619495,IDbWr6AmQ,2017-01-17 08:08:03,7298389,927417,34670,41475976,a,Mozilla,Desktop,0
8940818,IDBFfboKZ,2017-01-19 17:44:03,5977473,465973,80554,61940782,e,Edge,Tablet,0
9000476,IDPBcO3gp,2017-01-19 17:08:29,408032,564229,40339,43452411,a,Mozilla,Desktop,0
6636526,IDIzqTPlm,2017-01-10 22:05:09,2699024,427908,61982,20301556,b,Firefox,Mobile,0
4665779,IDq1JZedC,2017-01-14 04:44:08,3032554,831208,40339,54526992,e,Edge,Tablet,0
10902927,IDFNM6vTX,2017-01-11 11:21:37,8277147,496616,64452,38179337,a,Google Chrome,Mobile,0
5326083,IDPJ0oAHC,2017-01-18 06:05:41,4877717,920498,12211,11108754,b,Edge,Tablet,0
1307626,IDx3xW7kz,2017-01-16 12:26:20,8450934,930416,10345,17777318,a,Edge,Tablet,0
10108785,IDxiArRsD,2017-01-17 08:47:59,,360898,1678,66201904,b,Edge,,0
1466527,IDWncXsH9,2017-01-12 17:20:42,7555264,807844,11837,89663643,b,Edge,Tablet,0
1911094,IDcnDo0X5,2017-01-10 09:41:46,5445040,578860,45290,2050923,b,InternetExplorer,Desktop,0
10538505,IDjWVhFCC,2017-01-17 08:01:11,8625457,874555,73248,17488931,f,Mozilla Firefox,Desktop,0
2264654,IDt5Pkx56,2017-01-19 17:04:28,8914553,770241,68947,55358028,b,,Desktop,0
6709713,IDYdm6mn3,2017-01-15 17:52:49,6279629,760066,80554,57977218,b,Edge,Tablet,0
1278770,IDAYYitYq,2017-01-10 13:48:41,1563191,595073,87895,61940782,a,Firefox,Mobile,0
3850322,IDcRpl5lg,2017-01-12 08:49:57,9545287,310782,42227,49384126,f,Firefox,Mobile,0
